Group,Scenario,name,passed,actual,threshold,unit,required,message
Worked technology option,A1 — Gas district reference (not low-carbon),Heat and cooling service,True,0.0,0.1,% of annual energy,True,Annual unmet heat and cooling must remain within the stated tolerance.
Worked technology option,A1 — Gas district reference (not low-carbon),Carbon intensity,False,206.1,100.0,gCO2e/kWh,True,Operational heat/cooling service carbon must remain below the screening limit.
Worked technology option,A1 — Gas district reference (not low-carbon),Investor NPV,False,-17303576.4,0.0,GBP,True,"Investor NPV includes scheme revenues, OPEX, REPEX, CAPEX and modelled grant."
Worked technology option,A1 — Gas district reference (not low-carbon),Investor IRR,False,-0.03932949,0.105,fraction,True,"IRR is tested against the scenario hurdle rate, not a hard-coded UI value."
Worked technology option,A1 — Gas district reference (not low-carbon),Customer heat-bill parity,True,100.0,100.0,% of individual-gas bill,True,The district heat bill must not exceed the modelled individual-gas customer bill.
Worked technology option,A1 — Gas district reference (not low-carbon),Customer cooling-bill parity,True,,100.0,% of individual-AC bill,False,The district cooling bill must not exceed the modelled individual-AC customer bill.
Worked technology option,A1 — Gas district reference (not low-carbon),N-1 peak capacity,False,-8.681,0.0,MW margin,False,Peak-hour available capacity after the largest credible source/unit outage.
Worked technology option,A3 — ASHP plus gas peak/backup,Heat and cooling service,True,0.000998,0.1,% of annual energy,True,Annual unmet heat and cooling must remain within the stated tolerance.
Worked technology option,A3 — ASHP plus gas peak/backup,Carbon intensity,False,111.4,100.0,gCO2e/kWh,True,Operational heat/cooling service carbon must remain below the screening limit.
Worked technology option,A3 — ASHP plus gas peak/backup,Investor NPV,False,-27063436.07,0.0,GBP,True,"Investor NPV includes scheme revenues, OPEX, REPEX, CAPEX and modelled grant."
Worked technology option,A3 — ASHP plus gas peak/backup,Investor IRR,,,0.105,fraction,True,"IRR is tested against the scenario hurdle rate, not a hard-coded UI value."
Worked technology option,A3 — ASHP plus gas peak/backup,Customer heat-bill parity,True,100.0,100.0,% of individual-gas bill,True,The district heat bill must not exceed the modelled individual-gas customer bill.
Worked technology option,A3 — ASHP plus gas peak/backup,Customer cooling-bill parity,True,,100.0,% of individual-AC bill,False,The district cooling bill must not exceed the modelled individual-AC customer bill.
Worked technology option,A3 — ASHP plus gas peak/backup,N-1 peak capacity,False,-6.654,0.0,MW margin,False,Peak-hour available capacity after the largest credible source/unit outage.
Worked technology option,A4 — Data-centre heat plus booster and backup,Heat and cooling service,True,0.0018620000000000002,0.1,% of annual energy,True,Annual unmet heat and cooling must remain within the stated tolerance.
Worked technology option,A4 — Data-centre heat plus booster and backup,Carbon intensity,False,121.80000000000001,100.0,gCO2e/kWh,True,Operational heat/cooling service carbon must remain below the screening limit.
Worked technology option,A4 — Data-centre heat plus booster and backup,Investor NPV,False,-31799459.18,0.0,GBP,True,"Investor NPV includes scheme revenues, OPEX, REPEX, CAPEX and modelled grant."
Worked technology option,A4 — Data-centre heat plus booster and backup,Investor IRR,,,0.105,fraction,True,"IRR is tested against the scenario hurdle rate, not a hard-coded UI value."
Worked technology option,A4 — Data-centre heat plus booster and backup,Customer heat-bill parity,True,100.0,100.0,% of individual-gas bill,True,The district heat bill must not exceed the modelled individual-gas customer bill.
Worked technology option,A4 — Data-centre heat plus booster and backup,Customer cooling-bill parity,True,,100.0,% of individual-AC bill,False,The district cooling bill must not exceed the modelled individual-AC customer bill.
Worked technology option,A4 — Data-centre heat plus booster and backup,N-1 peak capacity,False,-5.681,0.0,MW margin,False,Peak-hour available capacity after the largest credible source/unit outage.
Worked technology option,A5 — EfW export plus ASHP and backup,Heat and cooling service,True,0.0,0.1,% of annual energy,True,Annual unmet heat and cooling must remain within the stated tolerance.
Worked technology option,A5 — EfW export plus ASHP and backup,Carbon intensity,True,69.3,100.0,gCO2e/kWh,True,Operational heat/cooling service carbon must remain below the screening limit.
Worked technology option,A5 — EfW export plus ASHP and backup,Investor NPV,False,-22491550.1,0.0,GBP,True,"Investor NPV includes scheme revenues, OPEX, REPEX, CAPEX and modelled grant."
Worked technology option,A5 — EfW export plus ASHP and backup,Investor IRR,False,-0.09554892,0.105,fraction,True,"IRR is tested against the scenario hurdle rate, not a hard-coded UI value."
Worked technology option,A5 — EfW export plus ASHP and backup,Customer heat-bill parity,True,100.0,100.0,% of individual-gas bill,True,The district heat bill must not exceed the modelled individual-gas customer bill.
Worked technology option,A5 — EfW export plus ASHP and backup,Customer cooling-bill parity,True,,100.0,% of individual-AC bill,False,The district cooling bill must not exceed the modelled individual-AC customer bill.
Worked technology option,A5 — EfW export plus ASHP and backup,N-1 peak capacity,False,-3.654,0.0,MW margin,False,Peak-hour available capacity after the largest credible source/unit outage.
Worked technology option,A6 — Four-pipe heating and cooling,Heat and cooling service,True,0.000998,0.1,% of annual energy,True,Annual unmet heat and cooling must remain within the stated tolerance.
Worked technology option,A6 — Four-pipe heating and cooling,Carbon intensity,False,103.8,100.0,gCO2e/kWh,True,Operational heat/cooling service carbon must remain below the screening limit.
Worked technology option,A6 — Four-pipe heating and cooling,Investor NPV,False,-36159269.11,0.0,GBP,True,"Investor NPV includes scheme revenues, OPEX, REPEX, CAPEX and modelled grant."
Worked technology option,A6 — Four-pipe heating and cooling,Investor IRR,,,0.105,fraction,True,"IRR is tested against the scenario hurdle rate, not a hard-coded UI value."
Worked technology option,A6 — Four-pipe heating and cooling,Customer heat-bill parity,True,100.0,100.0,% of individual-gas bill,True,The district heat bill must not exceed the modelled individual-gas customer bill.
Worked technology option,A6 — Four-pipe heating and cooling,Customer cooling-bill parity,True,100.0,100.0,% of individual-AC bill,True,The district cooling bill must not exceed the modelled individual-AC customer bill.
Worked technology option,A6 — Four-pipe heating and cooling,N-1 peak capacity,False,-6.654,0.0,MW margin,False,Peak-hour available capacity after the largest credible source/unit outage.
Route/commercial feasibility,F1 - Dense town-centre core / public appraisal,Heat and cooling service,True,0.0,0.1,% of annual energy,True,Annual unmet heat and cooling must remain within the stated tolerance.
Route/commercial feasibility,F1 - Dense town-centre core / public appraisal,Carbon intensity,True,55.5,100.0,gCO2e/kWh,True,Operational heat/cooling service carbon must remain below the screening limit.
Route/commercial feasibility,F1 - Dense town-centre core / public appraisal,Investor NPV,False,-18922909.9,0.0,GBP,True,"Investor NPV includes scheme revenues, OPEX, REPEX, CAPEX and modelled grant."
